post_id,title,category,score,num_comments,author,collected_at
47724352,Filing the corners off my MacBooks,entertainment,1398,672,normanvalentine,2026-04-14 16:37:56.741512
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,510,293,a-ve,2026-04-14 16:37:56.392727
47727960,Show HN: Pardonned.com – A searchable database of US Pardons,entertainment,497,272,vidluther,2026-04-14 16:37:58.828666
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,107,rochus,2026-04-14 16:37:57.968368
47743700,European AI. A playbook to own it,entertainment,199,131,hjouneau,2026-04-14 16:38:03.035099
47749674,Show HN: I built a social media management tool in 3 weeks with Claude and Codex,entertainment,184,125,janschu,2026-04-14 16:37:58.992943
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,168,randerson_112,2026-04-14 16:38:04.524502
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,162,42,cvrajeesh,2026-04-14 16:37:53.975480
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 16:38:02.289961
47741889,Show HN: Claudraband – Claude Code for the Power User,entertainment,118,44,halfwhey,2026-04-14 16:37:59.170362
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,91,39,chrisecker,2026-04-14 16:38:04.580584
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-14 16:38:02.459414
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,53,0,mooreds,2026-04-14 16:37:57.495437
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-14 16:38:06.011612
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,34,4,joe_mamba,2026-04-14 16:37:59.617586
47757552,Show HN: Continual Learning with .md,entertainment,32,28,wenhan_zhou,2026-04-14 16:37:56.330015
47714770,Show HN: Run GUIs as Scripts,entertainment,13,4,zero-st4rs,2026-04-14 16:37:53.011658
47754559,Show HN: Mcptube – Karpathy's LLM Wiki idea applied to YouTube videos,entertainment,12,2,0xchamin,2026-04-14 16:37:57.611776
47762851,Show HN: A stateful UI runtime for reactive web apps in Go,entertainment,9,4,derstruct,2026-04-14 16:37:55.574454
47761892,"Show HN: Pushduck – S3 uploads that run on Cloudflare Workers, no AWS SDK",entertainment,9,4,abhay_ramesh,2026-04-14 16:37:56.214780
47744683,Show HN: Rekal – Long-term memory for LLMs in a single SQLite file,entertainment,7,9,jeeybee,2026-04-14 16:38:04.354208
47761442,Show HN: Deflect One – command line dashboard for managing Linux servers via SSH,entertainment,6,4,whitemanv,2026-04-14 16:37:56.857963
47757289,Show HN: Lythonic – Compose Python functions into data-flow pipelines,entertainment,5,0,walnutgeek,2026-04-14 16:38:01.231076
47754329,Show HN: Farchive – SQLite-backed history-preserving compressed archive,entertainment,5,0,ekns,2026-04-14 16:38:02.851441
47754296,Show HN: Dbg – One CLI debugger for every language (AI-agent ready),entertainment,5,0,redknight666,2026-04-14 16:38:02.979309
47708818,Native Instant Space Switching on macOS,science,642,326,paulhoule,2026-04-14 16:37:34.380872
47704804,How NASA built Artemis II’s fault-tolerant computer,science,638,235,speckx,2026-04-14 16:37:33.023060
47706141,Research-Driven Agents: When an agent reads before it codes,science,213,54,hopechong,2026-04-14 16:37:41.898420
47739305,Tell HN: OpenAI silently removed Study Mode from ChatGPT,science,180,77,smokel,2026-04-14 16:37:36.344355
47738343,The Physics of GPS,science,162,35,maouida,2026-04-14 16:37:29.013154
47704443,Study found that young adults have grown less hopeful and more angry about AI,science,141,185,elsewhen,2026-04-14 16:37:46.851845
